ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win,score
36,146,41,21,1.58,3.27,15,0.93,-0.0066903011937341494,-0.027456295622523608,0.6890074091711328,26,0.026862551638207055,-0.0062421548481029765,4.437325469234002,8,0.625,3.919375519406212
47,129,44,27,1.49,2.77,14,1.33,-0.008583298818930496,-0.03258092160863868,0.6342031492435891,29,0.022302920409823068,-0.005413718447159099,4.203779833634,8,0.625,3.9032048544718423
26,165,30,24,1.62,2.43,16,1.34,-0.009150207760436735,-0.03433850202939459,0.6237683316377146,31,0.018689346102429116,-0.002721918306737514,3.7180691874830236,8,0.625,3.681126734044665
17,134,37,21,1.37,1.36,19,1.62,0.0001967552196604494,-0.013012137076551133,1.0112261329577013,44,0.018152883261121966,-0.0052743552894158885,2.9518973282256926,14,0.7142857142857143,3.1136588651422654
25,190,46,24,1.27,1.36,14,1.21,-0.0033733936045503565,-0.021938832113948648,0.861694209130197,41,0.018099005497081544,-0.005277666297553996,2.92777042478889,14,0.7142857142857143,3.094061465507516
24,163,39,13,1.66,1.39,39,1.57,0.0008727588549526377,-0.018205769278559436,1.0508402724359818,34,0.016400211595209324,-0.0052105128085514485,2.7924796330946124,13,0.6923076923076923,2.962185277367941
15,139,29,25,1.36,3.16,37,1.13,-0.004683970628356127,-0.033062511205674605,0.8114123220638247,31,0.01736118852634294,-0.0053646679360704885,2.8727425960612205,8,0.5,2.902082675992127
39,151,27,28,1.5,3.16,23,1.65,-0.0033619308341384935,-0.027608935808484225,0.838988362601261,26,0.017379924903733412,-0.005337587719993375,2.8618791626126447,8,0.5,2.8937022528488354
22,146,41,15,1.47,1.53,37,1.71,0.0012912977266290593,-0.023441960961595787,1.0690322086613138,35,0.015644295417751586,-0.005252990874211827,2.692477842402792,12,0.6666666666666666,2.8601798240172966
26,197,18,26,1.32,1.35,18,1.66,0.0037310252913083097,-0.01871340775181496,1.167334719940882,45,0.015435528636716933,-0.005298447831145192,2.662628475063797,13,0.6923076923076923,2.8527774559700765
32,122,30,19,1.56,3.21,16,1.09,-0.004427692919095727,-0.030005167476753414,0.8228593978387134,31,0.021473905228131418,-0.003567487801327429,2.7428842094546124,10,0.5,2.8381369912937275
19,185,12,28,1.53,2.96,30,1.63,0.005324549253217015,-0.0173858287841957,1.2559719302708576,31,0.015696937775364628,-0.007985980230732936,2.694307790742339,8,0.5,2.7300430796248305
32,197,39,24,1.26,2.86,10,1.74,-0.010177335005982502,-0.036880854922475836,0.5535591245556614,27,0.014772328063931583,-0.005279889278462457,2.6140441128738705,8,0.5,2.6828578163910546
15,199,36,18,1.85,2.76,26,1.19,-0.004270900902395569,-0.01765971235420105,0.7793060799066827,25,0.01418628686466894,-0.005337024612002139,2.563741524502415,8,0.5,2.63922845702926
34,168,42,22,1.58,2.71,10,1.79,-0.009227192908555115,-0.036485368272699215,0.5658579288443214,26,0.0135688359272359,-0.0027409106743891964,2.4826708751241706,8,0.5,2.5920535943404026
28,197,44,16,1.64,1.4,36,1.22,0.0015953072332763885,-0.015542388916126915,1.1002363222855063,31,0.01301131274796452,-0.0052305737468930635,2.3356586851527266,12,0.6666666666666666,2.5617389218868594
11,143,37,18,1.7,1.45,33,1.59,-0.003634461999963645,-0.014758513032988474,0.8400971113481647,37,0.01520907651710024,-0.005235670734591413,2.326102167067742,14,0.6428571428571429,2.5557560360772493
15,184,45,26,0.95,3.53,13,1.41,-0.00999025951931476,-0.03905277545734864,0.6532726843959771,33,0.017573183533241332,-0.00549791000894484,2.4768853378057862,9,0.4444444444444444,2.554557574505944
20,152,15,11,2.33,2.66,32,1.46,-0.004239153724223121,-0.020997477674257414,0.7756053980932425,25,0.01343670568562949,-0.00786010274200577,2.480198057310919,8,0.5,2.5484611523408365
40,148,38,25,1.36,1.33,9,1.77,-0.004838777363683544,-0.02116562973377667,0.7521358396761393,32,0.012086037732522703,-0.00289011524339311,2.284732249817176,12,0.6666666666666666,2.535095066569209
23,124,35,26,1.82,2.62,14,1.76,-0.013059924465475659,-0.03668094555182444,0.47369085817133905,30,0.01297155864748123,-0.005305431708218289,2.4286579223952116,8,0.5,2.5253406774878293
21,169,29,15,2.48,2.58,28,1.55,-0.0017892660863295662,-0.018416894769419434,0.8898856854692466,22,0.012760937092281655,-0.00524861212612715,2.4119181713366484,8,0.5,2.5113503255217102
44,77,26,13,1.89,1.26,32,1.7,-0.001732923501746031,-0.018453807416707657,0.9168399072162431,37,0.011509206648230519,-0.0052083546123216085,2.267151307443959,12,0.6666666666666666,2.4996002422977464
44,183,44,9,1.37,1.46,17,1.57,0.004189723769717935,-0.008238100998085418,1.3168687441353786,27,0.011580162613109346,-0.0027099866031341513,2.267140932310715,11,0.6363636363636364,2.499251847907227
27,157,43,22,2.05,2.54,26,1.18,-0.005286300205162298,-0.024827600567433605,0.7225734235409761,25,0.012322480163929006,-0.0052936144776712935,2.354286602013991,8,0.5,2.462692766609468
23,174,31,26,2.0,2.48,26,1.23,-0.0045164285658387815,-0.02401213721397455,0.7500874787638082,24,0.011897401089402404,-0.0052458818329470525,2.315439654919531,8,0.5,2.4298716747190605
31,150,41,20,1.49,1.24,11,1.74,-0.0070088450937498825,-0.02223006510451564,0.6756652183339805,35,0.013298121718440026,-0.005262580314880694,2.155619735311582,15,0.6666666666666666,2.4263857543224203
36,128,33,22,1.87,1.4,37,0.96,-0.0011411901701622318,-0.015215712959019245,0.9396997830242394,32,0.01097974358811915,-0.005322118210886129,2.194022641215112,11,0.6363636363636364,2.416858067043778
19,128,27,11,1.86,1.96,29,1.47,-0.011111270340602886,-0.02974793824122013,0.5557203366056137,33,0.011377538726343506,-0.0053189925602551424,2.24559568687821,9,0.5555555555555556,2.406645635985578
49,157,20,28,1.56,3.07,16,0.96,-0.01038329448064923,-0.03731608413844956,0.571814177904285,29,0.017785336423496556,-0.006174521007396239,2.220165061228725,11,0.45454545454545453,2.355889835768566
